

"0001 - MAGNA PRAIA HOTEL LTDA";"25/06/2026 11:02";"Pág:0001"
"Provisão de Férias 06/2026"

"   Filial: 1 - MAGNA PRAIA HOTEL LTDA"
"      Organograma: 001.001 - ADMINISTRAÇÃO"

"      Total do Organograma: 001.001 - ADMINISTRAÇÃO";"Total Func: 2";"Total Avos   55"

"Férias";"1/3 s/ Férias";"INSS";"FGTS";"PIS ";"Totais"
"Saldo Anterior";14.508,07;4.836,02;5.184,21;1.547,53;0,00;"Saldo Anterior";26.075,83
"Ajuste";-0,01;0,00;0,00;0,01;0,00;"Ajuste";0,00
"Provisão Mês";1.514,26;504,75;541,10;161,52;0,00;"Provisão Mês";2.721,63
"Pago";-9.989,42;-3.329,80;-206,93;-61,77;0,00;"Pago";-13.587,92
"Diferença Pgto";-492,41;-164,14;-3.538,58;-1.056,30;0,00;"Diferença Pgto";-5.251,43
"Transf. Filial";0,00;0,00;0,00;0,00;0,00;"Transf. Filial";0,00
"Saldo";5.540,49;1.846,83;1.979,80;590,99;0,00;"Saldo";9.958,11

"       Organograma: 005.003 - BAR E RESTAURANTE"

"      Total do Organograma: 005.003 - BAR E RESTAURANTE";"Total Func: 9";"Total Avos   77"

"Férias";"1/3 s/ Férias";"INSS";"FGTS";"PIS ";"Totais"
"Saldo Anterior";9.796,88;3.265,61;3.500,74;1.045,00;0,00;"Saldo Anterior";17.608,23
"Ajuste";-7,77;-2,59;-2,75;-0,83;0,00;"Ajuste";-13,94
"Provisão Mês";1.420,79;473,59;507,67;151,55;0,00;"Provisão Mês";2.553,60
"Pago";-238,91;-79,64;-85,37;-25,49;0,00;"Pago";-429,41
"Diferença Pgto";-980,87;-326,95;-350,50;-104,62;0,00;"Diferença Pgto";-1.762,94
"Transf. Filial";0,00;0,00;0,00;0,00;0,00;"Transf. Filial";0,00
"Saldo";9.990,12;3.330,02;3.569,79;1.065,61;0,00;"Saldo";17.955,54

"       Organograma: 007 - COZINHA"

"      Total do Organograma: 007 - COZINHA";"Total Func: 14";"Total Avos   99"

"Férias";"1/3 s/ Férias";"INSS";"FGTS";"PIS ";"Totais"
"Saldo Anterior";11.756,39;3.918,79;4.200,95;1.208,60;0,00;"Saldo Anterior";21.084,73
"Ajuste";-4,54;-1,52;-1,60;-0,49;0,00;"Ajuste";-8,15
"Provisão Mês";2.138,99;712,99;764,33;228,16;0,00;"Provisão Mês";3.844,47
"Pago";-697,60;-232,54;-39,64;-11,83;0,00;"Pago";-981,61
"Diferença Pgto";18,39;6,14;-203,07;-15,20;0,00;"Diferença Pgto";-193,74
"Transf. Filial";0,00;0,00;0,00;0,00;0,00;"Transf. Filial";0,00
"Saldo";13.211,63;4.403,86;4.720,97;1.409,24;0,00;"Saldo";23.745,70

"       Organograma: 008 - GOVERNANÇA"

"      Total do Organograma: 008 - GOVERNANÇA";"Total Func: 22";"Total Avos   198"

"Férias";"1/3 s/ Férias";"INSS";"FGTS";"PIS ";"Totais"
"Saldo Anterior";21.581,01;7.193,64;7.711,60;2.271,71;0,00;"Saldo Anterior";38.757,96
"Ajuste";-236,42;-78,79;-84,45;-25,21;0,00;"Ajuste";-424,87
"Provisão Mês";2.967,71;989,20;1.060,44;308,98;0,00;"Provisão Mês";5.326,33
"Pago";-6.106,54;-2.035,53;-76,66;-22,88;0,00;"Pago";-8.241,61
"Diferença Pgto";-38,85;-12,91;-2.119,29;-632,63;0,00;"Diferença Pgto";-2.803,68
"Transf. Filial";0,00;0,00;0,00;0,00;0,00;"Transf. Filial";0,00
"Saldo";18.166,91;6.055,61;6.491,64;1.899,97;0,00;"Saldo";32.614,13

"       Organograma: 009 - MANUTENÇÃO"


"0001 - MAGNA PRAIA HOTEL LTDA";"25/06/2026 11:02";"Pág:0002"
"Provisão de Férias 06/2026"


"      Total do Organograma: 009 - MANUTENÇÃO";"Total Func: 6";"Total Avos   39"
"Férias";"1/3 s/ Férias";"INSS";"FGTS";"PIS ";"Totais"
"Saldo Anterior";11.096,02;3.698,67;3.964,97;1.183,58;0,00;"Saldo Anterior";19.943,24
"Ajuste";17,78;5,92;6,35;1,89;0,00;"Ajuste";31,94
"Provisão Mês";1.968,02;656,01;703,24;209,92;0,00;"Provisão Mês";3.537,19
"Pago";0,00;0,00;0,00;0,00;0,00;"Pago";0,00
"Diferença Pgto";0,00;0,00;0,00;0,00;0,00;"Diferença Pgto";0,00
"Transf. Filial";0,00;0,00;0,00;0,00;0,00;"Transf. Filial";0,00
"Saldo";13.081,82;4.360,60;4.674,56;1.395,39;0,00;"Saldo";23.512,37


"       Organograma: 010 - RECEPÇÃO"

"      Total do Organograma: 010 - RECEPÇÃO";"Total Func: 14";"Total Avos   182"
"Férias";"1/3 s/ Férias";"INSS";"FGTS";"PIS ";"Totais"
"Saldo Anterior";33.296,45;11.098,82;11.897,95;3.506,21;0,00;"Saldo Anterior";59.799,43
"Ajuste";12,32;4,13;4,41;1,33;0,00;"Ajuste";22,19
"Provisão Mês";2.858,86;952,93;1.021,56;297,35;0,00;"Provisão Mês";5.130,70
"Pago";-3.802,55;-1.267,52;-1.358,78;-405,60;0,00;"Pago";-6.834,45
"Diferença Pgto";-28,14;-9,38;-10,06;-3,01;0,00;"Diferença Pgto";-50,59
"Transf. Filial";0,00;0,00;0,00;0,00;0,00;"Transf. Filial";0,00
"Saldo";32.336,94;10.778,98;11.555,08;3.396,28;0,00;"Saldo";58.067,28


"   Total da Filial: 1 - MAGNA PRAIA HOTEL LTDA";"Total Func: 67";"Total Avos   650"

"Férias";"1/3 s/ Férias";"INSS";"FGTS";"PIS ";"Totais"
"Saldo Anterior";102.034,82;34.011,55;36.460,42;10.762,63;0,00;"Saldo Anterior";183.269,42
"Ajuste";-218,64;-72,85;-78,04;-23,30;0,00;"Ajuste";-392,83
"Provisão Mês";12.868,63;4.289,47;4.598,34;1.357,48;0,00;"Provisão Mês";23.113,92
"Pago";-20.835,02;-6.945,03;-1.767,38;-527,57;0,00;"Pago";-30.075,00
"Diferença Pgto";-1.521,88;-507,24;-6.221,50;-1.811,76;0,00;"Diferença Pgto";-10.062,38
"Transf. Filial";0,00;0,00;0,00;0,00;0,00;"Transf. Filial";0,00
"Saldo";92.327,91;30.775,90;32.991,84;9.757,48;0,00;"Saldo";165.853,13


""

"Funcionários transferidos de filial/empresa, deve-se conferir/informar as contas contábeis das tabelas contábeis 1524 a"
"1533 para contabilizar a baixa na filial de saída e o saldo inicial na filial de entrada, ou transferir os valores das"
"provisões entre filiais manualmente na Contabilidade."

"   1021 - FRANCISCO LUAN RIBEIRO NOGUEIRA"


"Total da Empresa: 1 - MAGNA PRAIA HOTEL LTDA";"Total Func: 67";"Total Avos   650"

"Férias";"1/3 s/ Férias";"INSS";"FGTS";"PIS ";"Totais"
"Saldo Anterior";102.034,82;34.011,55;36.460,42;10.762,63;0,00;"Saldo Anterior";183.269,42
"Ajuste";-218,64;-72,85;-78,04;-23,30;0,00;"Ajuste";-392,83
"Provisão Mês";12.868,63;4.289,47;4.598,34;1.357,48;0,00;"Provisão Mês";23.113,92
"Pago";-20.835,02;-6.945,03;-1.767,38;-527,57;0,00;"Pago";-30.075,00
"Diferença Pgto";-1.521,88;-507,24;-6.221,50;-1.811,76;0,00;"Diferença Pgto";-10.062,38
"Transf. Filial";0,00;0,00;0,00;0,00;0,00;"Transf. Filial";0,00
"Saldo";92.327,91;30.775,90;32.991,84;9.757,48;0,00;"Saldo";165.853,13
